ticker,pe,PEyf,median,z,pctile,years,method,flag
HINDUNILVR,48.6,48.6,78.2,-3.23,0.04,3.1,annual-NI-calib,CHEAP vs self
HDFCLIFE,64.2,64.2,91.6,-2.73,0.01,3.1,annual-NI-calib,CHEAP vs self
INFY,13.9,13.9,21.6,-2.65,0.01,3.1,annual-NI-calib,CHEAP vs self
TCS,15.4,15.4,28.9,-2.27,0.01,3.1,annual-NI-calib,CHEAP vs self
RELIANCE,21.8,21.8,26.8,-1.99,0.01,3.1,annual-NI-calib,CHEAP vs self
WIPRO,14.0,14.0,20.8,-1.94,0.01,3.1,annual-NI-calib,CHEAP vs self
HEROMOTOCO,16.9,16.9,24.3,-1.75,0.01,3.1,annual-NI-calib,CHEAP vs self
HCLTECH,18.7,18.7,25.2,-1.7,0.04,3.1,annual-NI-calib,CHEAP vs self
ULTRACEMCO,42.1,42.1,50.0,-1.63,0.06,3.1,annual-NI-calib,CHEAP vs self
JSWSTEEL,13.5,13.5,47.0,-1.57,0.01,3.1,annual-NI-calib,CHEAP vs self
APOLLOHOSP,65.8,65.8,90.8,-1.53,0.04,3.1,annual-NI-calib,CHEAP vs self
TATACONSUM,70.8,70.8,86.5,-1.49,0.1,3.1,annual-NI-calib,CHEAP vs self
BAJAJFINSV,31.2,31.2,36.7,-1.42,0.11,3.1,annual-NI-calib,CHEAP vs self
HDFCBANK,17.9,17.9,22.3,-1.36,0.07,4.1,annual-NI-calib,CHEAP vs self
TITAN,78.2,78.2,90.1,-1.26,0.09,3.1,annual-NI-calib,CHEAP vs self
SBILIFE,72.9,72.9,78.8,-1.19,0.05,3.1,annual-NI-calib,CHEAP vs self
ADANIENT,43.4,43.4,97.2,-1.14,0.24,3.1,annual-NI-calib,CHEAP vs self
BAJAJ-AUTO,25.5,25.5,33.1,-1.14,0.17,3.1,annual-NI-calib,CHEAP vs self
TRENT,104.3,104.3,196.1,-1.12,0.16,3.1,annual-NI-calib,CHEAP vs self
NTPC,11.8,11.8,13.8,-1.02,0.12,3.1,annual-NI-calib,CHEAP vs self
ICICIBANK,18.9,18.9,20.2,-0.99,0.12,3.1,annual-NI-calib,
BRITANNIA,51.2,51.2,58.5,-0.93,0.25,3.1,annual-NI-calib,
BHARTIARTL,42.8,42.8,66.6,-0.86,0.36,3.1,annual-NI-calib,
TATASTEEL,22.1,22.1,23.9,-0.79,0.42,3.1,annual-NI-calib,
M&M,20.8,20.8,27.2,-0.78,0.31,3.1,annual-NI-calib,
BPCL,5.1,5.1,10.4,-0.77,0.26,3.1,annual-NI-calib,
ITC,17.6,17.6,26.1,-0.75,0.34,3.1,annual-NI-calib,
TECHM,26.4,26.4,31.0,-0.69,0.33,3.1,annual-NI-calib,
LT,34.5,34.5,36.8,-0.63,0.28,3.1,annual-NI-calib,
BAJFINANCE,33.9,33.9,36.0,-0.39,0.34,3.1,annual-NI-calib,
AXISBANK,16.0,16.0,14.3,-0.36,0.67,3.1,annual-NI-calib,
MARUTI,30.9,30.9,30.7,-0.35,0.51,3.1,annual-NI-calib,
ADANIPORTS,32.3,32.3,31.9,-0.32,0.52,3.1,annual-NI-calib,
ONGC,7.2,7.2,7.7,-0.29,0.43,3.1,annual-NI-calib,
KOTAKBANK,20.4,20.4,19.9,-0.17,0.55,3.1,annual-NI-calib,
ASIANPAINT,60.9,60.9,63.5,-0.07,0.42,3.1,annual-NI-calib,
NESTLEIND,79.8,79.8,80.6,-0.0,0.45,4.4,annual-NI-calib,
BEL,50.5,50.5,52.8,0.08,0.37,3.1,annual-NI-calib,
EICHERMOT,36.4,36.4,34.8,0.11,0.6,3.1,annual-NI-calib,
POWERGRID,14.4,14.4,14.6,0.14,0.43,3.1,annual-NI-calib,
CIPLA,30.5,30.5,29.1,0.22,0.67,3.1,annual-NI-calib,
SUNPHARMA,40.0,40.0,38.2,0.24,0.64,3.1,annual-NI-calib,
SBIN,11.4,11.4,10.7,0.46,0.69,3.1,annual-NI-calib,
GRASIM,43.6,43.6,32.0,0.72,0.68,3.1,annual-NI-calib,
COALINDIA,8.7,8.7,6.8,1.37,0.92,3.1,annual-NI-calib,RICH vs self
HINDALCO,16.0,16.0,12.8,1.51,0.94,3.1,annual-NI-calib,RICH vs self
SHRIRAMFIN,20.2,20.2,14.7,1.88,0.97,3.1,annual-NI-calib,RICH vs self
DRREDDY,26.8,26.8,19.2,3.43,1.0,3.1,annual-NI-calib,RICH vs self
INDUSINDBK,83.8,83.8,15.4,4.32,1.0,3.1,annual-NI-calib,RICH vs self
